# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M 2140+16 b,Confirmed,20.00,20,80,,,,0.92,0.39,0.39,7340.00,584,584,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,1/20/2012,223,47,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25.00,10,10,,,,0.08,0.06,0.06,0.10,0.043,0.043,,,,,2300,80,80,,,
2M 2206-20 b,Confirmed,30.00,20,70,,,,1.30,0.18,0.18,8686.00,69.4,69.4,4.48,0.4,0.4,0,,,44.3,0.7,0.7,0.167979,2010,1/20/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350,80,80,,,
2M 2236+4751 b,Confirmed,12.50,1.5,1.5,,,,,,,,,,230,20,20,,,,,,,3.7,2016,11/3/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"H2O, CO",2M 2236+4751,339.1041667,47.86194447,12.5,,,,,63.00,,,,,,0.60,0.05,0.05,,,,K7,0.12,0.01,0.01,,,,,,
2M J2126-81 b,Confirmed,13.30,1.7,1.7,,,,,,,,,,6900,,,,,,,,,,2016,2/23/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.3666667,-81.64111113,9,,,,,24.75,4.25,4.25,,,,0.40,,,,,,M2,0.03,0.017,0.017,,,,,,
2M1450-7841 B b,Confirmed,0.04,,,,,,,,,,,,300,,,,,,,,,,2017,12/5/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M1450-7841 B,222.6708333,-78.69388891,,,,,,75.00,25,25,,,,0.04,,,,,,,0.04,,,,,,,,
2M1450-7841 b,Confirmed,0.04,,,,,,,,,,,,300,,,,,,,,,,2017,12/5/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M1450-7841 A,222.675,-78.69472225,,,,,,75.00,25,25,,,,40.00,,,,,,,0.04,,,,,,,,
2M2250+2325,Confirmed,30.00,4,11,,,,,,,,,,518,40,40,,,,,,,,2017,12/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M2250+2325,342.5625,23.42611113,,,,,,41.50,10,10,,,,,,,,,,M3,0.15,,,,,,,,
2MASS J11193254 AB,Confirmed,3.70,0.9,1.2,,,,,,,32850.00,,,,,,,,,,,,,2017,6/30/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2MASS J11193254 AB,169.8855958,-11.62963891,,,,,14.62,,,,,,,,,,,,,L7,0.01,0.003,0.003,,,,,,
30 Ari B b,Confirmed,9.88,0.94,0.94,9.88,0.94,0.94,,,,335.10,2.5,2.5,0.995,0.012,0.012,0.289,0.092,0.092,,,,0.025254,2009,11/27/2009,307,18,18,2454538,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.40,1.7,1.7,0.12,0.08,0.08,1.22,0.08,0.08,1.23,0.07,0.07,F6V,0.91,0.03,0.03,6484,98,98,,,
38 Vir b,Confirmed,4.51,0.5,0.5,4.51,0.5,0.5,,,,825.90,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,,2016,2/20/2017,,,,,,,,,,2455490.2,177.3,177.3,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,HD 111998 b,,38 Vir,193.2964895,-3.553099291,6.11,,,,,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,F6 V,1.90,0.7,0.6,6557,96,96,,,"HIP 62875, HD 111998"
4 Uma b,Confirmed,7.10,1.6,1.6,7.1,1.6,1.6,,,,269.30,1.96,1.96,0.87,0.04,0.04,0.432,0.024,0.024,,,,0.011083,2007,8/27/2014,23.81,4.42,4.42,2452987.394,4.31,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,4 Uma,130.0541667,64.3280556,5.79,,,,,78.50,1.6,1.6,-0.25,0.04,0.04,1.23,0.15,0.15,,,,K1III,4.60,2,2,4415,70,70,,,
