# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-1134 b,Confirmed,,,,,,,0.24,0.023,0.019,17.13,8.20E-05,8.20E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1134,295.567982,42.478287,,,14.426,13.955,13.881,997.00,,,-0.1,0.179,0.158,0.84,0.05,0.05,0.81,0.06,0.06,,,,,5281,135.47,169.66,,,
Kepler-1135 b,Confirmed,,,,,,,0.17,0.014,0.029,76.96,0.0007104,0.0007104,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1135,286.002968,44.756592,,,13.161,12.827,12.75,728.00,,,0.02,0.165,0.132,0.96,0.05,0.04,0.94,0.07,0.17,,,,,5656,72.91,66.4,,,
Kepler-1136 b,Confirmed,,,,,,,0.15,0.008,0.009,2.36,3.65E-06,3.65E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1136,284.107796,44.245808,,,13.869,13.225,13.174,545.00,,,0.03,0.171,0.155,0.72,0.04,0.03,0.68,0.03,0.02,,,,,4512,47.76,46.44,,,
Kepler-1137 b,Confirmed,,,,,,,0.20,0.036,0.074,23.92,0.0001379,0.0001379,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1137,287.130272,48.665375,,,11.917,11.763,11.699,971.00,,,0.05,0.157,0.126,1.50,0.14,0.23,1.84,0.33,0.69,,,,,6807,120.35,117.84,,,
Kepler-1138 b,Confirmed,,,,,,,0.15,0.012,0.021,3.17,1.02E-05,1.02E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1138,285.899242,48.307301,,,14.135,13.775,13.754,1101.00,,,0.04,0.153,0.135,0.95,0.04,0.04,0.92,0.06,0.13,,,,,5582,65.24,62.16,,,
Kepler-1139 b,Confirmed,,,,,,,0.11,0.007,0.015,0.81,1.25E-06,1.25E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1139,287.945617,39.230568,,,12.748,12.35,12.339,555.00,,,0.05,0.152,0.128,0.94,0.05,0.04,0.91,0.06,0.12,,,,,5550,153.89,105.36,,,
Kepler-114 b,Confirmed,0.02,0.009439008,0.009439008,,,,0.11,0.007137135,0.007137135,5.19,2.90E-05,2.90E-05,0.052,,,,,,87.66,,,,2013,12/20/2013,,,,,,,,,,2454978.364,,,,,,,,,,,,,,,,,,722,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-114,294.1208,48.3494,13.7,,,,,,,,-0.003,,,0.71,0.2,0.15,0.65,0.02,0.02,,,,,4450,,,,,
Kepler-114 c,Confirmed,0.13,0.025170689,0.025170689,,,,0.14,0.0044,0.0044,8.04,,,0.07,,,,,,88.24,,,,2013,12/20/2013,,,,,,,,,,2454976.039,0.0015,0.0015,,,,,,,,,,,,,,,,623,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-114,294.1208,48.3494,13.7,,,,,,,,-0.003,,,0.71,0.2,0.15,0.65,0.02,0.02,,,,,4450,,,,,
Kepler-114 d,Confirmed,0.02,0.0233,0.00818,,,,0.23,0.007,0.007,11.78,,,0.09,,,,,,88.24,,,,2013,12/20/2013,,,,,,,,,,2454975.704,0.00074,0.00074,,,,,,,,,,,,,,,,549,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-114,294.1208,48.3494,13.7,,,,,,,,-0.003,,,0.71,0.2,0.15,0.65,0.02,0.02,,,,,4450,,,,,
Kepler-1140 b,Confirmed,,,,,,,0.25,0.033,0.04,24.09,0.000102,0.000102,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1140,281.693981,46.946449,,,13.946,13.384,13.297,657.00,,,-0.08,0.18,0.149,0.76,0.04,0.04,0.73,0.04,0.03,,,,,4850,47.66,53.07,,,
Kepler-1141 b,Confirmed,,,,,,,0.07,0.007,0.011,2.34,5.35E-06,5.35E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1141,290.543645,47.72588,,,11.338,11.041,10.966,365.00,,,0.04,0.091,0.087,1.01,0.04,0.03,1.07,0.1,0.15,,,,,5791,65.12,58.41,,,
Kepler-1142 b,Confirmed,,,,,,,0.13,0.016,0.038,18.30,0.0001389,0.0001389,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1142,292.714435,44.082336,,,13.031,12.672,12.648,697.00,,,0.02,0.171,0.124,0.97,0.06,0.05,0.96,0.08,0.24,,,,,5685,132.1,98.59,,,
Kepler-1143 b,Confirmed,,,,,,,0.15,0.01,0.012,2.89,6.94E-06,6.94E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1143,287.302821,39.289688,,,13.679,13.149,13.075,632.00,,,-0.06,0.171,0.15,0.81,0.05,0.05,0.77,0.04,0.05,,,,,5053,130.21,192.88,,,
Kepler-1143 c,Confirmed,,,,,,,0.32,0.031,0.045,210.63,0.001456,0.001456,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1143,287.302821,39.289688,,,13.679,13.149,13.075,632.00,,,-0.06,0.171,0.15,0.81,0.05,0.05,0.77,0.04,0.05,,,,,5053,130.21,192.88,,,
Kepler-1144 b,Confirmed,,,,,,,0.18,0.014,0.027,17.15,9.07E-05,9.07E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1144,290.043293,47.257977,,,13.818,13.435,13.433,1012.00,,,-0.03,0.178,0.141,0.98,0.06,0.05,0.96,0.07,0.14,,,,,5753,86.29,91.93,,,
Kepler-1145 b,Confirmed,,,,,,,0.13,0.01,0.01,3.97,1.11E-05,1.11E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1145,295.308161,43.044415,,,13.975,13.485,13.314,714.00,,,-0.13,0.193,0.177,0.79,0.05,0.05,0.75,0.05,0.05,,,,,5064,117.37,161.02,,,
Kepler-1146 b,Confirmed,,,,,,,0.11,0.007,0.009,2.35,8.25E-06,8.25E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1146,286.716626,47.425633,,,14.229,13.638,13.518,694.00,,,-0.06,0.158,0.143,0.74,0.04,0.03,0.70,0.04,0.02,,,,,4692,42.25,45.94,,,
Kepler-1147 b,Confirmed,,,,,,,0.23,0.045,0.071,10.63,9.12E-05,9.12E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1147,292.547537,41.642956,,,14.179,13.891,13.877,1476.00,,,0.11,0.142,0.147,1.09,0.06,0.09,1.14,0.13,0.35,,,,,5941,114.44,84.81,,,
Kepler-1148 b,Confirmed,,,,,,,0.15,0.008,0.009,1.10,1.29E-06,1.29E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1148,290.953557,45.719536,,,13.8,13.301,13.201,682.00,,,-0.02,0.16,0.146,0.81,0.04,0.04,0.77,0.04,0.04,,,,,5054,98.31,99.64,,,
Kepler-1149 b,Confirmed,,,,,,,0.13,0.015,0.023,3.73,1.50E-05,1.50E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1149,294.18926,45.151577,,,13.739,13.412,13.301,1023.00,,,0.02,0.168,0.149,1.02,0.07,0.07,1.01,0.1,0.18,,,,,5833,177.03,117.2,,,
Kepler-115 b,Confirmed,,,,,,,0.10,0.019,0.019,2.40,1.20E-05,1.20E-05,0.036,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-115,297.7118531,45.261925,,,12.315,12.028,11.97,,,,-0.081,,,1.00,,,1.21,0.23,0.23,,,,,5979,132,132,,,
Kepler-115 c,Confirmed,,,,,,,0.23,0.045,0.045,8.99,2.10E-05,2.10E-05,0.087,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-115,297.7118531,45.261925,,,12.315,12.028,11.97,,,,-0.081,,,1.00,,,1.21,0.23,0.23,,,,,5979,132,132,,,
Kepler-1150 b,Confirmed,,,,,,,0.09,0.005,0.005,2.79,8.26E-06,8.26E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1150,296.724492,49.532715,,,12.789,12.211,12.128,373.00,,,0.01,0.162,0.147,0.76,0.04,0.03,0.72,0.03,0.03,,,,,4754,77.33,80.38,,,
Kepler-1151 b,Confirmed,,,,,,,0.20,0.015,0.021,65.65,0.000401,0.000401,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1151,292.247793,47.878452,,,13.61,13.207,13.126,763.00,,,-0.11,0.187,0.166,0.88,0.06,0.05,0.85,0.06,0.08,,,,,5470,93.64,97.19,,,
Kepler-1152 b,Confirmed,,,,,,,0.08,0.005,0.004,1.65,2.67E-06,2.67E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1152,290.434033,44.107651,,,12.495,11.821,11.683,184.00,,,-0.25,0.108,0.136,0.55,0.03,0.04,0.53,0.03,0.03,,,,,3964,45.68,46.47,,,
Kepler-1153 b,Confirmed,,,,,,,0.15,0.01,0.019,1.76,4.39E-06,4.39E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1153,289.147217,45.866181,,,14.46,14.071,14.029,1185.00,,,0.03,0.164,0.126,0.91,0.04,0.04,0.88,0.05,0.1,,,,,5470,93.55,75.2,,,
Kepler-1154 b,Confirmed,,,,,,,0.21,0.044,0.095,5.19,2.68E-05,2.68E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1154,297.477127,39.877247,,,13.706,13.417,13.348,1531.00,,,0.04,0.161,0.14,1.26,0.16,0.25,1.43,0.29,0.65,,,,,6327,262.85,317.3,,,
Kepler-1154 c,Confirmed,,,,,,,0.21,0.044,0.085,8.46,4.76E-05,4.76E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1154,297.477127,39.877247,,,13.706,13.417,13.348,1531.00,,,0.04,0.161,0.14,1.26,0.16,0.25,1.43,0.29,0.65,,,,,6327,262.85,317.3,,,
Kepler-1155 b,Confirmed,,,,,,,0.18,0.018,0.04,33.47,0.0002003,0.0002003,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1155,288.820587,39.522827,,,13.587,13.254,13.184,987.00,,,0.04,0.156,0.141,1.03,0.06,0.07,1.03,0.1,0.22,,,,,5842,141.61,115.89,,,
Kepler-1156 b,Confirmed,,,,,,,0.12,0.008,0.012,11.90,6.50E-05,6.50E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1156,288.924024,46.057632,,,13.05,12.752,12.66,759.00,,,0.02,0.095,0.096,1.00,0.04,0.03,1.00,0.06,0.09,,,,,5778,59.01,67.42,,,
Kepler-1157 b,Confirmed,,,,,,,0.10,0.018,0.004,4.46,1.70E-05,1.70E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1157,283.121049,43.525642,,,12.683,12.112,12.015,346.00,,,0.05,0.177,0.147,0.76,0.04,0.03,0.71,0.03,0.03,,,,,4679,58.05,54.66,,,
Kepler-1158 b,Confirmed,,,,,,,0.21,0.041,0.041,13.54,9.33E-05,9.33E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1158,292.233946,41.575213,,,12.548,12.352,12.271,1258.00,,,0.18,0.1,0.096,1.41,0.13,0.13,1.95,0.38,0.37,,,,,6203,81.11,91.16,,,
Kepler-1159 b,Confirmed,,,,,,,0.21,0.033,0.092,22.71,9.54E-05,9.54E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1159,294.266335,45.204315,,,13.473,13.183,13.156,1238.00,,,0.04,0.148,0.139,1.19,0.11,0.17,1.28,0.2,0.56,,,,,6217,196.66,147.74,,,
Kepler-116 b,Confirmed,,,,,,,0.31,0.058,0.058,5.97,9.00E-06,9.00E-06,0.069,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-116,294.7420655,43.536835,,,12.703,12.486,12.383,,,,-0.064,,,1.16,,,1.45,0.27,0.27,,,,,6142,100,100,,,
Kepler-116 c,Confirmed,,,,,,,0.21,0.039,0.039,13.07,5.60E-05,5.60E-05,0.116,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-116,294.7420655,43.536835,,,12.703,12.486,12.383,,,,-0.064,,,1.16,,,1.45,0.27,0.27,,,,,6142,100,100,,,
Kepler-1160 b,Confirmed,,,,,,,0.19,0.012,0.025,7.97,3.12E-05,3.12E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1160,287.879384,43.364075,,,14.579,14.215,14.16,1293.00,,,0.01,0.163,0.127,0.92,0.04,0.04,0.89,0.05,0.11,,,,,5519,63.44,61.23,,,
Kepler-1161 b,Confirmed,,,,,,,0.19,0.012,0.045,10.71,3.88E-05,3.88E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1161,299.077103,45.44064,,,13.875,13.257,13.141,428.00,,,-0.35,0.148,0.133,0.59,0.04,0.03,0.57,0.03,0.03,,,,,4253,52.76,55.15,,,
Kepler-1162 b,Confirmed,,,,,,,0.20,0.019,0.045,32.56,0.0002472,0.0002472,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1162,283.29213,45.434116,,,14.178,13.76,13.753,989.00,,,-0.03,0.149,0.148,0.89,0.04,0.04,0.84,0.05,0.07,,,,,5390,58.89,61.74,,,
Kepler-1163 b,Confirmed,,,,,,,0.09,0.01,0.015,6.12,2.81E-05,2.81E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1163,290.235843,50.030087,,,11.253,10.982,10.971,487.00,,,0.02,0.085,0.079,1.22,0.05,0.07,1.35,0.13,0.23,,,,,6302,63.95,69.67,,,
Kepler-1164 b,Confirmed,,,,,,,0.10,0.006,0.004,3.98,1.09E-05,1.09E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1164,287.529634,38.894513,,,12.719,12.261,12.203,447.00,,,-0.03,0.105,0.105,0.85,0.04,0.03,0.79,0.02,0.02,,,,,5183,63.78,80.28,,,
Kepler-1165 b,Confirmed,,,,,,,0.14,0.017,0.045,9.48,5.91E-05,5.91E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1165,286.971267,44.708302,,,13.362,13.08,13.07,1081.00,,,0.05,0.155,0.135,1.13,0.08,0.12,1.18,0.14,0.39,,,,,6080,115.97,97.21,,,
Kepler-1166 b,Confirmed,,,,,,,0.15,0.012,0.055,33.24,0.00028,0.00028,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1166,290.348519,50.902855,,,13.223,12.822,12.737,648.00,,,-0.02,0.18,0.143,0.90,0.05,0.04,0.86,0.06,0.1,,,,,5446,87.62,83.15,,,
Kepler-1167 b,Confirmed,,,,,,,0.15,0.011,0.011,1.00,2.68E-06,2.68E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1167,298.302714,47.694023,,,14.327,13.819,13.663,811.00,,,-0.05,0.175,0.163,0.79,0.05,0.04,0.75,0.04,0.04,,,,,4971,125.1,96.57,,,
Kepler-1168 b,Confirmed,,,,,,,0.22,0.012,0.016,55.82,0.0003871,0.0003871,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1168,287.297694,47.455437,,,14.146,13.771,13.686,911.00,,,0.13,0.167,0.152,0.87,0.04,0.04,0.82,0.04,0.04,,,,,5157,55.91,47.04,,,
Kepler-1169 b,Confirmed,,,,,,,0.08,0.005,0.005,6.11,2.81E-05,2.81E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1169,294.911573,46.491463,,,11.719,11.456,11.409,538.00,,,0.26,0.059,0.067,1.24,0.04,0.04,1.23,0.05,0.06,,,,,6191,76.47,80.54,,,
Kepler-117 b,Confirmed,,,,,,,0.70,0.132,0.132,18.80,2.70E-05,2.70E-05,0.148,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-117,288.7930298,48.040234,,,13.324,12.988,13.011,,,,-0.038,,,,,,1.47,0.28,0.28,,,,,6169,100,100,,,
Kepler-117 c,Confirmed,,,,,,,1.01,0.191,0.191,50.79,3.90E-05,3.90E-05,0.287,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-117,288.7930298,48.040234,,,13.324,12.988,13.011,,,,-0.038,,,,,,1.47,0.28,0.28,,,,,6169,100,100,,,
Kepler-1170 b,Confirmed,,,,,,,0.22,0.015,0.017,9.99,4.24E-05,4.24E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1170,292.16858,43.779675,,,14.458,13.995,13.806,911.00,,,-0.09,0.189,0.177,0.80,0.05,0.04,0.76,0.05,0.05,,,,,5069,96.5,120.38,,,
Kepler-1171 b,Confirmed,,,,,,,0.23,0.045,0.061,1.44,2.19E-06,2.19E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1171,294.958925,38.591578,,,10.753,10.587,10.547,615.00,,,-0.01,0.175,0.152,1.58,0.17,0.18,1.95,0.38,0.51,,,,,7044,199.09,277.69,,,
Kepler-1172 b,Confirmed,,,,,,,0.29,0.025,0.036,26.02,0.0001886,0.0001886,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1172,290.474507,37.766598,,,14.625,14.241,14.14,1292.00,,,-0.04,0.193,0.145,0.92,0.06,0.06,0.89,0.07,0.11,,,,,5558,137.66,144.94,,,
Kepler-1173 b,Confirmed,,,,,,,0.08,0.006,0.021,0.77,1.20E-06,1.20E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1173,293.131095,45.663548,,,12.416,11.977,11.884,402.00,,,0,0.164,0.148,0.86,0.05,0.04,0.82,0.04,0.06,,,,,5252,116.76,92.48,,,
Kepler-1174 b,Confirmed,,,,,,,0.14,0.014,0.028,6.89,2.66E-05,2.66E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1174,281.831445,42.298916,,,13.151,12.81,12.762,829.00,,,-0.04,0.205,0.148,1.04,0.07,0.07,1.04,0.1,0.2,,,,,5936,103.81,117.34,,,
Kepler-1175 b,Confirmed,,,,,,,0.27,0.021,0.024,37.95,0.0001732,0.0001732,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1175,289.142702,46.812897,,,14.628,14.279,14.149,1244.00,,,-0.04,0.178,0.153,0.90,0.05,0.04,0.86,0.06,0.07,,,,,5453,80.38,66.21,,,
Kepler-1176 b,Confirmed,,,,,,,0.22,0.029,0.056,24.17,0.0001336,0.0001336,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1176,297.919728,45.274162,,,13.76,13.398,13.31,1023.00,,,-0.01,0.165,0.138,1.01,0.08,0.11,1.02,0.13,0.26,,,,,5844,268.56,264.61,,,
Kepler-1177 b,Confirmed,,,,,,,0.17,0.011,0.014,106.25,0.001822,0.001822,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1177,286.671437,49.406288,,,13.35,13.035,12.967,829.00,,,0.02,0.102,0.096,0.98,0.04,0.03,0.97,0.05,0.07,,,,,5712,66.68,62.98,,,
Kepler-1178 b,Confirmed,,,,,,,0.10,0.007,0.005,31.81,0.0003857,0.0003857,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1178,288.456062,45.802124,,,12.323,11.826,11.735,336.00,,,-0.05,0.173,0.155,0.80,0.04,0.04,0.75,0.04,0.03,,,,,4990,68.54,58.43,,,
Kepler-1179 b,Confirmed,,,,,,,0.12,0.007,0.008,2.69,4.10E-06,4.10E-06,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1179,284.09764,47.810638,,,12.699,12.246,12.189,454.00,,,-0.03,0.169,0.148,0.84,0.05,0.04,0.81,0.04,0.05,,,,,5212,65.67,65.46,,,
Kepler-118 b,Confirmed,,,,,,,0.18,0.084,0.084,7.52,5.60E-05,5.60E-05,0.073,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-118,299.2131653,41.424824,,,13.25,12.769,12.711,,,,0.18,,,0.86,,,1.09,0.49,0.49,,,,,5274,200,200,,,
Kepler-118 c,Confirmed,,,,,,,0.69,0.306,0.306,20.17,1.30E-05,1.30E-05,0.141,,,,,,,,,,2014,3/6/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-118,299.2131653,41.424824,,,13.25,12.769,12.711,,,,0.18,,,0.86,,,1.09,0.49,0.49,,,,,5274,200,200,,,
Kepler-1180 b,Confirmed,,,,,,,0.18,0.024,0.049,16.86,0.0001369,0.0001369,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1180,295.88751,43.156063,,,13.887,13.548,13.521,1284.00,,,0,0.178,0.136,1.09,0.09,0.16,1.14,0.15,0.31,,,,,6077,226.98,243.54,,,
Kepler-1181 b,Confirmed,,,,,,,0.14,0.023,0.058,4.89,2.53E-05,2.53E-05,,,,,,,,,,,2016,5/12/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1181,289.747314,39.523468,,,12.606,12.385,12.363,867.00,,,0.03,0.166,0.126,1.17,0.1,0.17,1.30,0.21,0.54,,,,,6176,87.31,82.26,,,
